epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.8872811198234558,0.9479992389678955,1085.0,1400.0,0.28636544942855835,0.8765432238578796,0.9015873074531555,9621.0,9940.0,0.8569872975349426,0.9589909315109253,342.0,52.0,0.3223291337490082,0.9527702331542969,0.7541337013244629,1312.0,1049.0
0,0.9386736750602722,0.9726219773292542,511.0,841.0,0.18894964456558228,0.925922691822052,0.9536423683166504,10182.0,10512.0,0.934664249420166,0.9623327255249023,24.0,156.0,0.33597296476364136,0.8979057669639587,0.982807993888855,1203.0,1372.0
0,0.9467477202415466,0.9778178334236145,457.0,717.0,0.1684187948703766,0.9364587068557739,0.9585449695587158,10305.0,10567.0,0.9088929295539856,0.9636355638504028,18.0,233.0,0.354164719581604,0.8554590344429016,0.9871152639389038,1125.0,1379.0
0,0.9487435221672058,0.9802765250205994,453.0,677.0,0.16007865965366364,0.9398221969604492,0.9589152932167053,10343.0,10573.0,0.9470054507255554,0.9799683690071106,47.0,99.0,0.19915130734443665,0.9313929080963135,0.9662113785743713,1265.0,1344.0
0,0.9524630308151245,0.9831550717353821,409.0,639.0,0.14510005712509155,0.9432403445243835,0.9629125595092773,10379.0,10619.0,0.9441016316413879,0.9798381924629211,34.0,120.0,0.19482427835464478,0.9187542200088501,0.9755571484565735,1244.0,1357.0
0,0.958541214466095,0.9878251552581787,342.0,572.0,0.1243363469839096,0.949191689491272,0.9689880013465881,10446.0,10686.0,0.9473684430122375,0.9806632995605469,75.0,70.0,0.17380347847938538,0.9496040344238281,0.9461979866027832,1291.0,1319.0
0,0.9587680101394653,0.9888344407081604,346.0,563.0,0.12004400044679642,0.9499199390411377,0.968616783618927,10458.0,10679.0,0.9357531666755676,0.9777705669403076,60.0,117.0,0.19904065132141113,0.9190311431884766,0.9567723274230957,1250.0,1328.0
0,0.9602649211883545,0.9898733496665955,334.0,542.0,0.11542585492134094,0.9517621994018555,0.9697134494781494,10476.0,10694.0,0.9339382648468018,0.9735420942306519,26.0,156.0,0.26468855142593384,0.8972331881523132,0.9812679886817932,1211.0,1362.0
0,0.9666606187820435,0.9925243258476257,268.0,467.0,0.09748364984989166,0.9583964347839355,0.9756938219070435,10553.0,10758.0,0.9473684430122375,0.9783990979194641,44.0,101.0,0.21105630695819855,0.9302486181259155,0.9683680534362793,1263.0,1347.0
0,0.9705162048339844,0.993494987487793,246.0,404.0,0.08907574415206909,0.9638705253601074,0.9776850342750549,10618.0,10778.0,0.9364791512489319,0.9746212363243103,75.0,100.0,0.21776923537254333,0.9291784763336182,0.9459264874458313,1268.0,1312.0
0,0.9830354452133179,0.9977985620498657,158.0,216.0,0.050178684294223785,0.9805071949958801,0.9856663346290588,10807.0,10865.0,0.9426497220993042,0.9651883244514465,57.0,101.0,0.3595464825630188,0.9297146797180176,0.9590811133384705,1261.0,1336.0
1,0.9855756163597107,0.9978496432304382,138.0,180.0,0.04510705545544624,0.9837324619293213,0.9874807000160217,10843.0,10885.0,0.938293993473053,0.9679656624794006,50.0,120.0,0.3118733763694763,0.9178645014762878,0.9640546441078186,1244.0,1341.0
2,0.9872539043426514,0.9987406134605408,127.0,154.0,0.03655776008963585,0.9860658645629883,0.9884807467460632,10867.0,10898.0,0.9379310607910156,0.9698975086212158,81.0,90.0,0.30137577652931213,0.9355300664901733,0.9416005611419678,1278.0,1306.0
3,0.9913816452026367,0.9992687702178955,79.0,111.0,0.02596171572804451,0.9899592995643616,0.992833137512207,10912.0,10944.0,0.9081669449806213,0.9593322277069092,193.0,60.0,0.4485935568809509,0.952305257320404,0.8612508773803711,1304.0,1198.0
4,0.9919259548187256,0.9992789626121521,84.0,94.0,0.024130921810865402,0.9914816617965698,0.9923809766769409,10927.0,10941.0,0.9361161589622498,0.9671974778175354,87.0,89.0,0.3867683708667755,0.9358327388763428,0.9371840953826904,1281.0,1298.0
5,0.9925609827041626,0.9992794394493103,78.0,86.0,0.02181169018149376,0.992204487323761,0.9929245114326477,10936.0,10946.0,0.9303085207939148,0.9616559147834778,87.0,105.0,0.40160056948661804,0.9257950782775879,0.937723696231842,1253.0,1310.0
0,0.9937403798103333,0.9991071224212646,60.0,78.0,0.021871766075491905,0.9929360747337341,0.9945573210716248,10944.0,10964.0,0.9321234226226807,0.9650066494941711,93.0,94.0,0.37148720026016235,0.932712972164154,0.9333810806274414,1265.0,1303.0
1,0.993558943271637,0.9993903636932373,63.0,79.0,0.019344493746757507,0.9928429126739502,0.9942841529846191,10945.0,10959.0,0.9448275566101074,0.9664976000785828,61.0,91.0,0.3631930947303772,0.9360056519508362,0.9561781883239746,1272.0,1331.0
2,0.9942846894264221,0.9994766712188721,56.0,70.0,0.017366867512464523,0.9936577081680298,0.9949197173118591,10953.0,10967.0,0.9390199780464172,0.9660447835922241,71.0,97.0,0.391433447599411,0.9316419959068298,0.949030876159668,1265.0,1322.0
3,0.996688723564148,0.999759316444397,32.0,41.0,0.009917989373207092,0.996284544467926,0.9970977902412415,10979.0,10994.0,0.9357531666755676,0.962315022945404,93.0,84.0,0.4407874047756195,0.9392185211181641,0.9331416487693787,1280.0,1298.0
0,0.7287036180496216,0.8001694083213806,2907.0,3074.0,3.724039077758789,0.7252658605575562,0.7362547516822815,7950.0,8115.0,0.5448275804519653,0.8418052792549133,8.0,1246.0,3.4442312717437744,0.5264158248901367,0.9942569732666016,116.0,1385.0
1,0.8861017823219299,0.9184601902961731,759.0,1752.0,1.9970839023590088,0.8542065620422363,0.9311501979827881,9270.0,10265.0,0.9125226736068726,0.9396988749504089,158.0,83.0,1.4490180015563965,0.9367859959602356,0.8861671686172485,1284.0,1230.0
2,0.9092805981636047,0.9307799339294434,659.0,1341.0,1.3393568992614746,0.8854237794876099,0.9402104616165161,9683.0,10363.0,0.9161524772644043,0.9518293142318726,70.0,161.0,1.1130694150924683,0.8915824890136719,0.9497848153114319,1200.0,1324.0
3,0.6968610882759094,0.7718372941017151,3373.0,3310.0,2.391660451889038,0.6979926824569702,0.6940034627914429,7713.0,7650.0,0.5034482479095459,0.6905615329742432,0.0,1368.0,1.8309807777404785,0.5034482479095459,1.0,0.0,1387.0
4,0.6835707426071167,0.7438265681266785,3348.0,3628.0,1.6875914335250854,0.6791084408760071,0.69635409116745,7392.0,7678.0,0.7800362706184387,0.904772162437439,11.0,595.0,2.3575916290283203,0.6979695558547974,0.9920634627342224,774.0,1375.0
0,0.8167468309402466,0.878081738948822,1751.0,2289.0,3.5434765815734863,0.8020409941673279,0.8411791324615479,8732.0,9274.0,0.0,0.0,0.0,0.0,1.7544255256652832,0.0,0.0,0.0,0.0
1,0.7107411623001099,0.7951653599739075,3413.0,2964.0,3.035759687423706,0.7196633219718933,0.6903465986251831,8060.0,7609.0,0.0,0.0,0.0,0.0,1.164563775062561,0.0,0.0,0.0,0.0
2,0.8975777626037598,0.9276959896087646,687.0,1571.0,1.4312652349472046,0.868060827255249,0.9376757740974426,9452.0,10336.0,0.0,0.0,0.0,0.0,0.7631828188896179,0.0,0.0,0.0,0.0
3,0.9093259572982788,0.9347078800201416,645.0,1354.0,1.080964207649231,0.884608805179596,0.9414966106414795,9667.0,10380.0,0.0,0.0,0.0,0.0,0.6722077131271362,0.0,0.0,0.0,0.0
4,0.9119568467140198,0.9346168637275696,626.0,1315.0,0.9064854979515076,0.8877411484718323,0.9432199597358704,9706.0,10399.0,0.0,0.0,0.0,0.0,0.47875210642814636,0.0,0.0,0.0,0.0
0,0.7113761901855469,0.7850481271743774,3023.0,3340.0,4.263230323791504,0.705441415309906,0.7257303595542908,7684.0,7999.0,0.5553538799285889,0.6619596481323242,1018.0,207.0,3.1398262977600098,0.6461538672447205,0.27077364921569824,1152.0,378.0
1,0.877710223197937,0.9129250049591064,604.0,2092.0,3.655794620513916,0.8328138589859009,0.9452154040336609,8929.0,10421.0,0.8606170415878296,0.905748724937439,17.0,367.0,4.008635997772217,0.788837730884552,0.9877521395683289,1000.0,1371.0
2,0.908827006816864,0.933072030544281,450.0,1560.0,3.055495023727417,0.8714356422424316,0.9591799974441528,9462.0,10574.0,0.4965517222881317,0.9265406131744385,1387.0,0.0,1.9551640748977661,0.0,0.0,1368.0,0.0
3,0.8903202414512634,0.924635648727417,516.0,1902.0,3.0312559604644775,0.8467241525650024,0.9531887769699097,9121.0,10507.0,0.4921959936618805,0.9568850994110107,1399.0,0.0,1.7202993631362915,0.0,0.0,1356.0,0.0
4,0.9238410592079163,0.9414780735969543,498.0,1181.0,1.4088521003723145,0.8991460204124451,0.9548380970954895,9838.0,10529.0,0.495099812746048,0.9219585061073303,1391.0,0.0,1.920643925666809,0.0,0.0,1364.0,0.0
0,0.5003119707107544,0.49814915657043457,5459.0,5754.0,0.6986976265907288,0.5008241534233093,0.5139779448509216,5454.0,5773.0,0.49364790320396423,0.5,1395.0,0.0,0.6979347467422485,0.0,0.0,1360.0,0.0
1,0.49832168221473694,0.49538710713386536,5686.0,5374.0,0.6990715265274048,0.49836647510528564,0.48426303267478943,5647.0,5339.0,0.49691471457481384,0.5,1386.0,0.0,0.6984907388687134,0.0,0.0,1369.0,0.0
2,0.49977320432662964,0.49784743785858154,5459.0,5569.0,0.6977808475494385,0.49995511770248413,0.5049424171447754,5450.0,5568.0,0.49473685026168823,0.5,1392.0,0.0,0.6964606046676636,0.0,0.0,1363.0,0.0
3,0.49696090817451477,0.49546945095062256,5612.0,5478.0,0.697176992893219,0.4968772828578949,0.490836501121521,5546.0,5410.0,0.495099812746048,0.5,1391.0,0.0,0.6966791749000549,0.0,0.0,1364.0,0.0
4,0.4986845552921295,0.49715882539749146,5954.0,5098.0,0.6966073513031006,0.49857380986213684,0.45985665917396545,5925.0,5069.0,0.4972776770591736,0.5,1385.0,0.0,0.6959875226020813,0.0,0.0,1370.0,0.0
